# scores/pwm3.csv
# Captured from IanniX, truncated and deduplicated
# t_seconds, fine_value      (fine_value in [-1, 1])
0.0000, 0.695420
5.0601, 0.695119
9.0310, 0.093342
19.0159, 0.093342
20.9433, -0.965260
24.0436, -0.965260
25.9691, -0.502117
37.0771, -0.495503
38.9990, 0.688212
41.0476, 0.695410
43.1064, 0.086207
53.6225, -0.952016
62.0862, -0.945413
67.9162, 0.119814
76.0477, 0.133032
78.2377, 0.503552
93.0492, 0.510162
98.0897, -0.118798
102.9782, -0.958220
104.2351, -0.958640
108.0060, 0.205236
115.2195, 0.212431
117.9352, 0.702033
120.0000, 0.695420
