# scores/pwm5.csv
# Captured from IanniX, truncated and deduplicated
# t_seconds, fine_value      (fine_value in [-1, 1])
0.0000, 0.920498
5.2707, 0.914435
5.8716, 0.998314
8.6809, 0.998083
9.2713, 0.464506
9.2993, 0.444743
9.3001, 0.438815
9.5971, 0.170050
9.6223, 0.154240
9.6429, 0.128550
10.7825, -0.901056
10.8264, -0.935602
14.3561, -0.909691
19.4000, 0.527712
21.7502, 0.754084
22.7664, 0.368412
24.9496, 0.762864
25.9599, 0.393242
27.2998, 0.778526
28.1503, 0.428011
29.2361, 0.804162
30.0012, 0.992806
33.8140, 0.992239
35.1271, 0.953980
36.4712, -0.707747
42.4395, -0.809450
46.5679, 0.973275
59.2611, 0.931271
61.1119, -0.094187
64.8164, -0.775860
69.0987, -0.775860
70.6170, -0.414233
73.1341, -0.380670
74.3969, -0.766870
77.2520, -0.750671
77.2833, -0.726789
78.8992, 0.970311
84.6992, 0.981100
84.7453, 0.979889
84.7845, 0.958092
86.6681, -0.223801
87.7739, -0.759027
90.2924, -0.750634
93.7408, 0.728684
95.2519, -0.017142
96.7719, 0.728672
102.0690, -0.775822
103.6694, -0.750626
108.8787, -0.742224
110.9187, 0.969891
111.4339, 0.974146
120.0000, 0.920498
