# scores/pwm6.csv
# Captured from IanniX, truncated and deduplicated
# t_seconds, fine_value      (fine_value in [-1, 1])
0.0000, 0.803446
5.9156, 0.782305
6.6705, 0.998641
9.4765, 0.998901
9.5974, 0.899670
9.6222, 0.885778
9.6265, 0.875855
9.6431, 0.861963
11.8934, -0.966864
14.5012, -0.975038
18.7936, -0.512751
35.4359, -0.495948
39.3921, 0.992523
57.1341, 0.984122
62.1784, -0.478388
65.5450, -0.941399
78.4865, 0.966345
84.7169, 0.975704
86.4021, 0.219241
91.1063, -0.284943
99.1837, -0.294106
102.4625, -0.882475
110.3680, -0.891176
116.2554, 0.999992
120.0000, 0.803446
