# scores/pwm1.csv
# Captured from IanniX, truncated and deduplicated
# t_seconds, fine_value      (fine_value in [-1, 1])
0.0000, 0.695780
4.0105, 0.695780
8.0106, -0.989820
12.0601, -0.989678
13.9644, -0.704663
20.9274, -0.710997
21.9477, -0.932796
51.9792, -0.945454
51.9850, -0.909667
51.9941, -0.905155
55.0268, 0.195170
65.9168, 0.195170
69.0330, -0.932790
80.0521, -0.932790
83.0350, 0.391621
102.9130, 0.410613
102.9387, 0.407201
105.0888, -0.958127
118.1363, -0.951803
118.1418, -0.950979
118.2010, -0.875482
119.4003, 0.678775
119.4131, 0.689443
119.9887, 0.689443
120.0000, 0.695780
